vin,marque,modele,annee,couleur
WUARL48H27K445065,Ford,Aerostar,1986,Teal
2HNYD2H32DH900167,Mazda,Navajo,1991,Violet
JH4DC54842C828185,Jeep,Liberty,2009,Turquoise
WBAYE8C56ED997058,Mercedes-Benz,CL-Class,1999,Fuscia
1B3BD4FB7BN591271,Volkswagen,Passat,1991,Purple
JH4KB2F55BC935502,Volkswagen,Cabriolet,1985,Khaki
3C6LD4BT6CG010121,Dodge,Ram Van 1500,1998,Violet
WBAKF9C59BE151098,Mazda,MX-5,2001,Maroon
3D73Y3CL3BG908203,Infiniti,Q,1998,Puce
1G4HF57938U578483,Subaru,Loyale,1991,Yellow
JTEBU5JR2A5796287,Chevrolet,Malibu,2007,Khaki
1G6AL5S3XE0077792,Oldsmobile,98,1995,Crimson
KNAFU5A24B5742206,Dodge,D350,1992,Orange
137FA84361E201998,Saab,900,1997,Khaki
WVGDP9BP2ED959911,GMC,Rally Wagon 3500,1993,Green
WAUEG74F76N990033,Ford,Explorer,2007,Fuscia
WAUHF78P99A980473,Jeep,Liberty,2008,Pink
WAUBF78E58A097473,Kia,Carens,2009,Aquamarine
1FA6P0G70E5825402,Mitsubishi,L300,1987,Red
SCBCR63W84C505555,Toyota,Paseo,1992,Fuscia
WBAVB73598V135778,Honda,S2000,2006,Khaki
WBAVC53578F132079,Acura,MDX,2002,Blue
3N1CE2CP3EL267245,Plymouth,Breeze,1999,Pink
1N6AD0CU6BC950501,Dodge,Dakota,2005,Maroon
1FTMF1CW1AK853208,Chrysler,LHS,1995,Indigo
WBANB33525B002950,Audi,S8,2003,Indigo
WA1DGBFE9ED154812,Toyota,Camry,2011,Teal
3VWKZ7AJ4BM600788,Mitsubishi,Expo,1994,Indigo
WBAVC53587A005675,Chevrolet,3500,1992,Orange
1FTMF1E80AF828646,GMC,Savana,2012,Purple
1N6AA0CH2FN563854,Dodge,D250 Club,1993,Green
SCFAB05D79G983209,Volkswagen,Passat,1993,Violet
1FTWW3DY9AE475612,Mercedes-Benz,E-Class,2000,Green
WBASN2C57AC003276,Volvo,940,1995,Khaki
KMHTC6AD2EU205789,Ford,Fusion,2013,Orange
WBAGN63494D233405,Subaru,Brat,1984,Goldenrod
WVGAV7AX4BW230047,Lincoln,LS,2003,Purple
1N6AA0CA5EN548881,Audi,riolet,1998,Teal
5YMGY0C51BL638801,Chevrolet,G-Series G30,1994,Maroon
